first_date_metadata_received,last_date_metadata_received,edp_site_id,postcode,state,site_timezone,monitoring_hardware,inverter_manufacturer,inverter_model,inverter_ac_rating_kw,inverter_count,subarray_manufacturer,subarray_model,subarray_orientation,subarray_tilt,subarray_strings,subarray_modules_per_string,subarray_dc_rating_kw,islandable,has_battery,battery_size_make_model,limit_enabled,limit_amount,limit_applied
14/04/2022,30/06/2022,S0288,5090,SA,Australia/Adelaide,KR-63,SMA,Sunny Boy SB 1700,1.55,1,Kyocera,KC 70,0,15,1,24,1.68,No,f,,,,
14/04/2022,30/06/2022,S0290,5066,SA,Australia/Adelaide,Mixed,Generic Inverter,5kW,5,1,Yingli Solar,YL260P-35b,0,5,1,10,2.6,Yes,t,,,,
14/04/2022,30/06/2022,S0291,5271,SA,Australia/Adelaide,SC-23,SolaX Power,X1-3.0T,3,1,Tindo Solar,Karra-275,1,22,1,11,3.025,No,f,,,,
14/04/2022,30/06/2022,S0296,5109,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,2,Tindo Solar,Karra-280,15,25,1,9,2.52,No,f,,,,
14/04/2022,30/06/2022,S0297,5064,SA,Australia/Adelaide,KR-63,Fronius,Symo 10.0-3-M,10,1,Trina Solar,TSM-370DD08M.08(II),0,15,2,18,13.32,No,f,,,,
14/04/2022,30/06/2022,S0309,5290,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-275,-90,35,1,9,2.475,Yes,t,Tesla 5kw,,,
14/04/2022,30/06/2022,S0312,5417,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,2,Tindo Solar,Karra-275,-40,12.5,1,9,2.475,,f,,,,
14/04/2022,30/06/2022,S0324,5092,SA,Australia/Adelaide,SC-23,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,-45,22,1,8,2.36,Yes,t,Don't know,,,
14/04/2022,30/06/2022,S0325,5089,SA,Australia/Adelaide,KR-63,SMA,Sunny Boy SB 5000 TL-21,4.6,1,CSUN,CSUN 250-60M,35,22,2,10,5,No,f,,,,
14/04/2022,30/06/2022,S0331,5251,SA,Australia/Adelaide,KR-63,SMA,Sunny Tripower15000 TL,15,1,Tindo Solar,Karra-275,-30,10,1,12,3.3,No,f,,,,
