site_id,c_id,con_type,polarity,,,,,,,,,,,,,,,,,,
S0499,S0499,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0503,S0503,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0504,S0504,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0507,S0507,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0508,S0508,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0509,S0509,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0518,S0518,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0519,S0519,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0522,S0522,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0542,S0542,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0545,S0545,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0549,S0549,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0550,S0550,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0554,S0554,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0555,S0555,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0556,S0556,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0561,S0561,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0572,S0572,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0574,S0574,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0575,S0575,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0576,S0576,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0586,S0586,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0593,S0593,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0594,S0594,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0597,S0597,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0002,W0002,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0004,W0004,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0006,W0006,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0016,W0016,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0017,W0017,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0022,W0022,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0032,W0032,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0039,W0039,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0040,W0040,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0046,W0046,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0052,W0052,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0055,W0055,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0059,W0059,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0071,W0071,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0093,W0093,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0115,W0115,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0134,W0134,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0144,W0144,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0160,W0160,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0161,W0161,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0170,W0170,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0188,W0188,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0197,W0197,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0223,W0223,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0224,W0224,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0246,W0246,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0248,W0248,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0252,W0252,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0257,W0257,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0273,W0273,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0314,W0314,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0325,W0325,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0331,W0331,pv_site_net,1,,,,,,,,,,,,,,,,,,
W0352,W0352,pv_site_net,1,,,,,,,,,,,,,,,,,,
