site_id,postcode,state,site_timezone,monitoring_hardware,inverter_manufacturer,inverter_model,inverter_ac_rating_kw,inverter_count,subarray_manufacturer,subarray_model,subarray_orientation,subarray_tilt,subarray_strings,subarray_modules_per_string,subarray_dc_rating_kw,islandable,has_battery,battery_size_make_model,limit_enabled,limit_amount,limit_applied,ac_cap_w,dc_cap_w
S0023,5323,SA,Australia/Adelaide,SC-23,Solis,Solis-4K-2G,4,1,Hanwha SolarOne,HSL 60P6-PC-1-260,0,25,2,8,4.16,No,,,,,,4000,4160
S0026,5048,SA,Australia/Adelaide,SC-23,Solis,Solis-3K-2G,3,1,Hanwha SolarOne,HSL 60P6-PC-1-260,0,25,1,12,3.12,,,,,,,3000,3120
S0029,5025,SA,Australia/Adelaide,SC-23,Fronius,Fronius Symo 5.0-3-M,5,1,Hanwha SolarOne,HSL 60P6-PC-1-260,-93,25,2,10,5.2,No,,,,,,5000,5200
S0030,5049,SA,Australia/Adelaide,SC-23,SMA,Sunny Boy SB 5000,4.6,1,Generic Module,280W,60,23,1,10,2.8,,,,,,,4600,2800
S0031,5127,SA,Australia/Adelaide,SC-23,Delta Energy,Solar Inverter SOLIVIA 3.0 AP G3,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,23,1,6,1.56,No,,,,,,3000,1560
S0042,5043,SA,Australia/Adelaide,SC-23,Solis,Solis-mini-3000-4G,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,-90,25,1,5,1.3,No,,,,,,3000,1300
S0059,5061,SA,Australia/Adelaide,SC-23,Solis,Solis-3K-2G,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,90,30,1,12,3.12,,,,,,,3000,3120
S0061,5089,SA,Australia/Adelaide,SC-23,Solis,Solis-mini-2500-4G,2.5,1,Hanwha SolarOne,HSL 60S 4BB 260W,-90,25,1,10,2.6,,,,,,,2500,2600
S0069,5164,SA,Australia/Adelaide,SC-23,Solis,Solis-3K-2G,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,25,2,6,3.12,No,,,,,,3000,3120
S0078,5068,SA,Australia/Adelaide,SC-23,Solis,Solis-4.6K-2G,4.6,1,Renesola,JC250M-24/Bb,0,25,1,16,4,,,,,,,4600,4000
S0089,5352,SA,Australia/Adelaide,SC-23,Solis,Solis-mini-2000-4G,2,1,Hanwha SolarOne,HSL 60S 4BB 260W,-90,25,1,8,2.08,No,,,,,,2000,2080
S0093,5021,SA,Australia/Adelaide,KR-63,Solis,Solis-1P4.6K-4G,4.6,1,Q Cells,Q.PRIME-G5 280,0,25,1,13,3.64,No,,,,,,4600,3640
S0109,5116,SA,Australia/Adelaide,SC-23,Solis,Solis-mini-3000-4G,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,25,1,6,1.56,,,,,,,3000,1560
S0123,5024,SA,Australia/Adelaide,SC-23,Solis,Solis-4K-2G,4,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,25,1,8,2.08,No,,,,,,4000,2080
S0127,5159,SA,Australia/Adelaide,SC-23,Solis,Solis-3.6K-2G,3.6,1,Hanwha SolarOne,HSL 60P6-PC-1-260,-15,25,1,6,1.56,,,,,,,3600,1560
S0143,5211,SA,Australia/Adelaide,SC-23,Enphase,S270-72-LN-2-AU,0.2565,9,Tindo Solar,Karra-295,-80,22,1,1,0.295,,f,,,,,256.5,295
S0150,5035,SA,Australia/Adelaide,KR-63,Fronius,SYMO 6.0-3-M,6,2,Tindo Solar,Karra-275,-10,25,1,12,3.3,No,f,,,,,6000,3300
S0152,5019,SA,Australia/Adelaide,SC-23,SolaX Power,X1-4.2T,4.2,1,Tindo Solar,Karra-275,-80,15,1,6,1.65,No,f,,,,,4200,1650
S0157,5067,SA,Australia/Adelaide,SC-23,Fronius,Symo 3.0-3-M,3,1,Yingli Solar,YL260P-29b,-90,2,1,12,3.12,No,f,,,,,3000,3120
S0159,5097,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-315,0,22,1,10,3.15,No,f,,,,,5000,3150
S0165,5051,SA,Australia/Adelaide,KR-63,SMA,Sunny Boy 6.0,6,1,Kaneka,U-EA105,-30,16,7,8,5.88,No,f,,,,,6000,5880
S0171,5238,SA,Australia/Adelaide,KR-63,1,1,1,1,,,,,,,,No,f,,,,,1000,0
S0175,5169,SA,Australia/Adelaide,SC-23,Delta Energy,RPI H5A,5,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,22,1,8,2.08,No,f,,,,,5000,2080
S0178,5114,SA,Australia/Adelaide,SC-23,SolaX Power,X1-4.2T,4.2,1,Tindo Solar,Karra-275,10,12,1,13,3.575,,f,,,,,4200,3575
S0180,5114,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-300,-90,24,1,7,2.1,No,f,,,,,5000,2100
S0183,5171,SA,Australia/Adelaide,KR-63,SolaX Power,X3-5.0-T,5,1,Tindo Solar,Karra-270,-90,40,1,10,2.7,,f,,,,,5000,2700
S0184,5090,SA,Australia/Adelaide,SC-23,Generic Inverter,1kW,1,1,Tindo Solar,Karra-275,-95,15,1,4,1.1,,f,,,,,1000,1100
S0186,5290,SA,Australia/Adelaide,SC-23,SolaX Power,SL-TL3300T,3,1,Yingli Solar,YL260P-29b,1,20,1,12,3.12,No,f,,,,,3000,3120
S0187,5162,SA,Australia/Adelaide,KR-63,SolaX Power,X1-5.0T,5,1,Tindo Solar,Karra-295,-45,14,1,9,2.655,Yes,t,,,,,5000,2655
S0193,5109,SA,Australia/Adelaide,KR-63,Fronius,Primo 5.0-1,5,1,REC,REC330NP,-90,22,2,10,6.6,No,f,,,,,5000,6600
S0204,5115,SA,Australia/Adelaide,SC-23,Solis,Solis-mini-3000-4G,3,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,25,2,6,3.12,No,f,,,,,3000,3120
S0207,5043,SA,Australia/Adelaide,SC-23,Solis,Solis-2.5K-2G,2.5,1,Hanwha SolarOne,HSL 60S 4BB 260W,0,25,1,10,2.6,No,f,,,,,2500,2600
S0235,5125,SA,Australia/Adelaide,KR-63,Delta Energy,H5A_221,5,1,Trina Solar,TSM330DD06M,45,25,1,9,2.97,No,f,,,,,5000,2970
